Type,Family,WineColour,Titre,Texte,Medaillon,,Couleur
Carte,Taste,"red,white",Floral,"Blossom, rose, violet",taste,,
Carte,Taste,white,Green Fruit,"Apple, Pear, Gooseberry, Grape",taste,,
Carte,Taste,white,Citrus Fruit,"Lemon, Lime, Grapefruit",taste,,
Carte,Taste,white,Stone Fruit,"Peach, Apricot, Nectarine",taste,,
Carte,Taste,white,Tropical Fruit,"Banana, Lychee, Mango, Melon, Passion Fruit, Pineapple",taste,,
Carte,Taste,red,Red Fruit,"Redcurrant, Cranberry, Raspberry, Strawberry, Red cherry, plum",taste,,
Carte,Taste,red,Black Fruit,"Blackcurrant, Blackberry, Blueberry, Black cherry",taste,,
Carte,Taste,red,Dried Fruit,"Fig, Prune, Raisin, Sultana, Kirsch",taste,,
Carte,Taste,"red,white",Herbaceous,"Grass, Asparagus, Leaf",taste,,
Carte,Taste,"red,white",Herbal,"Eucalyptus, Mint, Medicinal, Fennel, Dill",taste,,
Carte,Taste,"red,white",Spice,"Cinnamon, Cloves, Ginger, Nutmeg, Vanilla, pepper, liquorice, juniper",taste,,
Carte,Taste,"red,white",Dairy,"Butter, Cheese, Cream, Yogurt, Yeast, Biscuit, Bread, Toast, Pastry, Lees",taste,,
Carte,Taste,"red,white",Oak,"Vanilla, Toast, Cedar, Charred wood, Smoke, Resinious, Almond, Coconut, Hazelnut, Walnut, Chocolate, Coffee",taste,,
